target,selection,crossbreed,mutation,prob,survival,generations,MSE,triangles,population_size,time
.\test_images\emoji.png,elite,ring,uniform,0.1,additive,2000,2024.1346,5,10,25.6583
.\test_images\emoji.png,elite,ring,uniform,0.01,additive,2000,2006.2134,5,30,27.8069
.\test_images\emoji.png,elite,ring,single,0.5,exclusive,2000,10117.3379,5,30,30.1500
.\test_images\emoji.png,elite,ring,uniform,0.01,exclusive,2000,11862.5400,5,30,31.3948
.\test_images\emoji.png,elite,ring,uniform,0.1,additive,2000,2101.5464,5,20,40.9610
.\test_images\emoji.png,elite,ring,uniform,0.1,exclusive,2000,11277.5508,5,20,39.6013
.\test_images\emoji.png,elite,ring,uniform,0.1,additive,2000,2000.5436,5,30,44.5019
.\test_images\emoji.png,elite,ring,uniform,0.1,exclusive,2000,8274.4756,5,30,43.8807
.\test_images\emoji.png,elite,ring,uniform,0.5,additive,2000,2371.0559,5,10,42.4936
.\test_images\emoji.png,elite,ring,uniform,0.5,exclusive,2000,12803.3105,5,10,42.2906
.\test_images\emoji.png,elite,uniform,single,0.01,additive,2000,2779.9780,5,10,40.2305
.\test_images\emoji.png,elite,uniform,single,0.01,exclusive,2000,9582.4385,5,10,39.7973
.\test_images\emoji.png,elite,uniform,single,0.01,additive,2000,2859.2332,5,20,43.0679
.\test_images\emoji.png,elite,ring,uniform,0.5,additive,2000,2282.9829,5,20,48.9192
.\test_images\emoji.png,elite,uniform,single,0.1,exclusive,2000,9898.7012,5,30,34.7030
.\test_images\emoji.png,elite,ring,uniform,0.5,exclusive,2000,10029.2627,5,20,47.9834
.\test_images\emoji.png,elite,uniform,single,0.1,additive,2000,2164.1204,5,10,40.6310
.\test_images\emoji.png,elite,uniform,single,0.1,additive,2000,2146.3091,5,20,40.3268
.\test_images\emoji.png,elite,uniform,single,0.01,additive,2000,2429.8418,5,30,44.8948
.\test_images\emoji.png,elite,uniform,single,0.01,exclusive,2000,8178.2725,5,20,41.7975
.\test_images\emoji.png,elite,uniform,single,0.1,additive,2000,2067.3772,5,30,40.0707
.\test_images\emoji.png,elite,uniform,single,0.01,exclusive,2000,11428.7676,5,30,41.6301
.\test_images\emoji.png,elite,ring,uniform,0.5,additive,2000,2274.2786,5,30,50.6076
.\test_images\emoji.png,elite,uniform,single,0.1,exclusive,2000,9697.3594,5,20,39.9378
.\test_images\emoji.png,elite,uniform,single,0.1,exclusive,2000,8955.5830,5,10,40.3045
.\test_images\emoji.png,elite,ring,uniform,0.5,exclusive,2000,8585.9824,5,30,46.2697
.\test_images\emoji.png,elite,uniform,single,0.5,additive,2000,2254.7466,5,10,29.8688
.\test_images\emoji.png,elite,uniform,single,0.5,exclusive,2000,12759.8633,5,10,23.0095
.\test_images\emoji.png,elite,uniform,single,0.5,additive,2000,2054.8821,5,20,30.9459
.\test_images\emoji.png,elite,uniform,single,0.5,additive,2000,2291.6230,5,30,29.5387
.\test_images\emoji.png,elite,uniform,single,0.5,exclusive,2000,10927.1230,5,20,23.6700
.\test_images\emoji.png,elite,uniform,uniform,0.01,additive,2000,2111.3672,5,10,21.7762
.\test_images\emoji.png,elite,uniform,uniform,0.01,exclusive,2000,9144.3711,5,10,22.0958
.\test_images\emoji.png,elite,uniform,single,0.5,exclusive,2000,11090.2207,5,30,28.5209
.\test_images\emoji.png,elite,uniform,uniform,0.01,additive,2000,2346.5002,5,20,26.1189
.\test_images\emoji.png,elite,uniform,uniform,0.1,additive,2000,1817.9144,5,10,26.0067
.\test_images\emoji.png,elite,uniform,uniform,0.1,exclusive,2000,10289.7344,5,10,25.7147
.\test_images\emoji.png,elite,uniform,uniform,0.01,exclusive,2000,11869.2051,5,20,27.4731
.\test_images\emoji.png,elite,uniform,uniform,0.5,exclusive,2000,10690.8477,5,10,26.0469
.\test_images\emoji.png,elite,uniform,uniform,0.5,additive,2000,2503.9429,5,10,27.0532
.\test_images\emoji.png,elite,uniform,uniform,0.01,additive,2000,2175.2693,5,30,32.1311
.\test_images\emoji.png,elite,uniform,uniform,0.1,additive,2000,2026.2799,5,20,30.9131
.\test_images\emoji.png,elite,uniform,uniform,0.1,exclusive,2000,9873.9395,5,20,30.8893
.\test_images\emoji.png,elite,uniform,uniform,0.01,exclusive,2000,10955.2471,5,30,31.9836
.\test_images\emoji.png,roulette,one-point,single,0.01,additive,2000,4291.5415,5,10,25.1232
.\test_images\emoji.png,roulette,one-point,single,0.01,additive,2000,2981.1409,5,20,24.6874
.\test_images\emoji.png,elite,uniform,uniform,0.1,exclusive,2000,10485.4834,5,30,33.6070
.\test_images\emoji.png,elite,uniform,uniform,0.5,additive,2000,2378.1516,5,20,33.8165
.\test_images\emoji.png,elite,uniform,uniform,0.5,exclusive,2000,10535.9912,5,20,32.0358
.\test_images\emoji.png,roulette,one-point,single,0.01,exclusive,2000,4145.5596,5,10,21.3326
.\test_images\emoji.png,elite,uniform,uniform,0.5,additive,2000,2419.1790,5,30,38.4960
.\test_images\emoji.png,elite,uniform,uniform,0.1,additive,2000,2054.8840,5,30,39.2264
.\test_images\emoji.png,roulette,one-point,single,0.01,additive,2000,2646.8264,5,30,30.0198
.\test_images\emoji.png,roulette,one-point,single,0.1,additive,2000,2357.8752,5,10,23.2118
.\test_images\emoji.png,elite,uniform,uniform,0.5,exclusive,2000,9695.0947,5,30,40.4445
.\test_images\emoji.png,roulette,one-point,single,0.01,exclusive,2000,3784.0547,5,20,26.6398
.\test_images\emoji.png,roulette,one-point,single,0.1,exclusive,2000,2322.5764,5,10,25.1235
.\test_images\emoji.png,roulette,one-point,single,0.01,exclusive,2000,2898.7344,5,30,31.1437
.\test_images\emoji.png,roulette,one-point,single,0.1,exclusive,2000,2028.2008,5,20,26.6155
.\test_images\emoji.png,roulette,one-point,single,0.1,additive,2000,2209.7942,5,20,27.9767
.\test_images\emoji.png,roulette,one-point,single,0.5,additive,2000,1999.4238,5,10,25.7564
.\test_images\emoji.png,roulette,one-point,single,0.1,additive,2000,2170.5605,5,30,30.3968
.\test_images\emoji.png,roulette,one-point,single,0.5,exclusive,2000,2200.7666,5,10,27.0672
.\test_images\emoji.png,roulette,one-point,single,0.1,exclusive,2000,2235.3088,5,30,31.0349
.\test_images\emoji.png,roulette,one-point,single,0.5,additive,2000,2151.5068,5,30,28.9504
.\test_images\emoji.png,roulette,one-point,uniform,0.01,additive,2000,2003.8517,5,10,26.4126
.\test_images\emoji.png,roulette,one-point,single,0.5,exclusive,2000,2163.4011,5,20,26.8609
.\test_images\emoji.png,roulette,one-point,single,0.5,additive,2000,2042.4199,5,20,29.7893
.\test_images\emoji.png,roulette,one-point,uniform,0.01,exclusive,2000,2155.7075,5,10,22.7142
.\test_images\emoji.png,roulette,one-point,uniform,0.01,additive,2000,2052.6074,5,20,27.5736
.\test_images\emoji.png,roulette,one-point,uniform,0.01,exclusive,2000,2188.9216,5,20,25.1944
.\test_images\emoji.png,roulette,one-point,single,0.5,exclusive,2000,2240.3003,5,30,30.5570
.\test_images\emoji.png,roulette,one-point,uniform,0.01,additive,2000,2233.4575,5,30,29.1349
.\test_images\emoji.png,roulette,one-point,uniform,0.01,exclusive,2000,2119.4775,5,30,28.2461
.\test_images\emoji.png,roulette,one-point,uniform,0.1,additive,2000,1991.7795,5,10,23.7425
.\test_images\emoji.png,roulette,one-point,uniform,0.1,exclusive,2000,4861.6870,5,10,21.9868
.\test_images\emoji.png,roulette,one-point,uniform,0.1,additive,2000,1847.1998,5,20,26.3125
.\test_images\emoji.png,roulette,one-point,uniform,0.5,additive,2000,2381.2368,5,10,27.2325
.\test_images\emoji.png,roulette,ring,single,0.01,additive,2000,3300.3730,5,10,21.7886
.\test_images\emoji.png,roulette,one-point,uniform,0.1,additive,2000,2129.4443,5,30,36.1119
.\test_images\emoji.png,roulette,one-point,uniform,0.1,exclusive,2000,3208.8545,5,20,30.6082
.\test_images\emoji.png,roulette,one-point,uniform,0.5,exclusive,2000,7547.8364,5,10,26.5622
.\test_images\emoji.png,roulette,ring,single,0.01,exclusive,2000,5663.0024,5,10,24.0264
.\test_images\emoji.png,roulette,ring,single,0.01,additive,2000,2547.2048,5,20,26.1487
.\test_images\emoji.png,roulette,ring,single,0.1,additive,2000,2224.0735,5,10,23.4479
.\test_images\emoji.png,roulette,one-point,uniform,0.5,additive,2000,2326.2996,5,20,34.0928
.\test_images\emoji.png,roulette,ring,single,0.01,exclusive,2000,2782.3381,5,20,26.7103
.\test_images\emoji.png,roulette,ring,single,0.01,additive,2000,2534.0696,5,30,28.5015
.\test_images\emoji.png,roulette,one-point,uniform,0.1,exclusive,2000,3892.3723,5,30,36.2246
.\test_images\emoji.png,roulette,one-point,uniform,0.5,exclusive,2000,6105.6392,5,20,32.1497
.\test_images\emoji.png,roulette,ring,single,0.1,additive,2000,2061.1387,5,20,26.0831
.\test_images\emoji.png,roulette,ring,single,0.1,exclusive,2000,2325.6682,5,10,23.1191
.\test_images\emoji.png,roulette,ring,single,0.01,exclusive,2000,2277.9106,5,30,28.7450
.\test_images\emoji.png,roulette,ring,single,0.1,exclusive,2000,2118.5742,5,20,24.6487
.\test_images\emoji.png,roulette,ring,single,0.1,additive,2000,2346.7590,5,30,26.5849
.\test_images\emoji.png,roulette,one-point,uniform,0.5,additive,2000,2285.6138,5,30,38.5759
.\test_images\emoji.png,roulette,ring,single,0.5,additive,2000,2250.3206,5,10,23.6124
.\test_images\emoji.png,roulette,one-point,uniform,0.5,exclusive,2000,5829.6660,5,30,37.1098
.\test_images\emoji.png,roulette,ring,single,0.1,exclusive,2000,2080.5762,5,30,27.3298
.\test_images\emoji.png,roulette,ring,single,0.5,exclusive,2000,2204.2632,5,10,20.7276
.\test_images\emoji.png,roulette,ring,single,0.5,additive,2000,2209.6721,5,20,23.9876
.\test_images\emoji.png,roulette,ring,uniform,0.01,additive,2000,2032.0483,5,10,22.1266
.\test_images\emoji.png,roulette,ring,single,0.5,exclusive,2000,2293.9404,5,20,28.1054
.\test_images\emoji.png,roulette,ring,single,0.5,additive,2000,2053.6506,5,30,30.2898
.\test_images\emoji.png,roulette,ring,uniform,0.01,exclusive,2000,2152.3821,5,10,25.1649
.\test_images\emoji.png,roulette,ring,uniform,0.01,additive,2000,2009.3512,5,20,26.9317
.\test_images\emoji.png,roulette,ring,single,0.5,exclusive,2000,2187.2705,5,30,31.1720
.\test_images\emoji.png,roulette,ring,uniform,0.1,additive,2000,2311.9893,5,10,25.7017
.\test_images\emoji.png,roulette,ring,uniform,0.01,exclusive,2000,2219.7954,5,20,28.3295
.\test_images\emoji.png,roulette,ring,uniform,0.1,exclusive,2000,4302.7710,5,10,26.0499
.\test_images\emoji.png,roulette,ring,uniform,0.01,additive,2000,2322.9573,5,30,30.7341
.\test_images\emoji.png,roulette,ring,uniform,0.01,exclusive,2000,2108.5762,5,30,31.0030
.\test_images\emoji.png,roulette,ring,uniform,0.5,exclusive,2000,6742.1353,5,10,24.4044
.\test_images\emoji.png,roulette,ring,uniform,0.5,additive,2000,2530.5144,5,10,26.7515
